id,Li,Al,Ca,V,Ni,Nb,Rh,Ag,Sn,Cs,Ba,Ce,Sm,Hf,Ir,Au,Bi,CH4_conv_pct
train_00019,0.0,0.591,0.0,0.158,0.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678,0.0,0.0,0.0,0.354,3.2
train_00020,0.0,0.0,0.171,0.0,0.0,0.0,0.0,0.179,0.698,0.0,0.0,0.0,0.452,0.0,0.0,0.0,0.531,3.1
train_00021,0.0,0.0,0.0,0.0,0.528,0.175,0.0,0.536,0.0,0.0,0.0,0.0,0.452,0.572,0.0,0.0,0.0,3.1
train_00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.566,0.0,0.0,0.858,0.207,0.0,0.354,2.7
train_00023,0.209,0.0,0.342,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.531,3.2
train_00024,0.0,0.591,0.0,0.158,0.0,0.0,0.172,0.0,0.698,0.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
train_00025,0.627,0.0,0.171,0.0,0.792,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413,0.0,0.0,28.7
train_00026,0.0,0.0,0.0,0.316,0.0,0.0,0.0,0.0,0.0,0.615,0.283,0.0,0.452,0.0,0.0,0.0,0.354,3.4
train_00027,0.0,0.886,0.0,0.0,0.528,0.0,0.0,0.179,0.233,0.0,0.0,0.0,0.678,0.0,0.0,0.0,0.0,3.0
train_00028,0.0,0.295,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.849,0.0,0.678,0.0,0.0,0.0,0.177,3.4
train_00029,0.418,0.295,0.0,0.0,0.792,0.0,0.0,0.0,0.698,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7
train_00030,0.0,0.0,0.514,0.0,0.264,0.0,0.0,0.0,0.0,0.0,0.849,0.0,0.0,0.0,0.207,0.325,0.0,7.9
train_00031,0.0,0.0,0.514,0.316,0.0,0.0,0.0,0.0,0.0,0.205,0.283,0.0,0.678,0.0,0.0,0.0,0.0,4.5
train_00032,0.0,0.0,0.514,0.0,0.0,0.175,0.172,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.62,0.0,0.0,11.5
train_00033,0.0,0.0,0.0,0.0,0.264,0.0,0.0,0.0,0.233,0.0,0.0,0.593,0.452,0.858,0.0,0.0,0.0,2.9
train_00034,0.612,0.0,0.0,0.614,0.38,0.0,0.0,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.159,3.5
train_00035,0.0,0.459,0.0,0.0,0.569,0.128,0.0,0.163,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
train_00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.148,0.376,0.0,0.0,0.0,0.386,0.0,0.331,0.0,3.1
train_00037,0.408,0.0,0.0,0.41,0.569,0.0,0.223,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
train_00038,0.0,0.0,0.531,0.41,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.288,0.0,0.0,3.5
train_00039,0.0,0.306,0.531,0.0,0.0,0.0,0.0,0.0,0.148,0.188,0.589,0.0,0.0,0.0,0.0,0.0,0.0,4.1
train_00040,0.408,0.0,0.354,0.0,0.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.144,0.0,0.0,28.0
train_00041,0.0,0.0,0.177,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.392,0.0,0.249,0.0,0.0,0.0,0.476,3.7
train_00042,0.0,0.306,0.0,0.0,0.0,0.511,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.129,0.144,0.0,0.0,5.7
train_00043,0.0,0.0,0.0,0.205,0.569,0.0,0.0,0.0,0.0,0.564,0.392,0.0,0.0,0.0,0.0,0.0,0.159,3.6
train_00044,0.612,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.148,0.0,0.0,0.0,0.373,0.0,0.0,0.0,0.317,3.5
train_00045,0.0,0.313,0.166,0.0,0.0,0.0,0.0,0.0,0.786,0.0,0.0,0.642,0.0,0.0,0.0,0.203,0.0,5.1
train_00046,0.0,0.0,0.332,0.0,0.0,0.0,0.0,0.352,0.0,0.81,0.0,0.0,0.0,0.195,0.0,0.0,0.191,5.2
train_00047,0.0,0.0,0.0,0.0,0.0,0.0,0.221,0.352,0.0,0.0,0.0,0.0,0.693,0.0,0.5,0.0,0.191,5.2
train_00048,0.0,0.0,0.0,0.0,0.0,0.726,0.0,0.176,0.0,0.0,0.707,0.214,0.0,0.389,0.0,0.0,0.0,5.3
train_00049,0.231,0.0,0.0,0.661,0.804,0.0,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382,5.6
train_00050,0.0,0.0,0.0,0.0,0.536,0.726,0.0,0.0,0.524,0.0,0.471,0.0,0.0,0.195,0.0,0.0,0.0,5.1
train_00051,0.0,0.0,0.0,0.441,0.0,0.968,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.25,0.407,0.0,5.5
train_00052,0.0,0.157,0.332,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.765,5.5
train_00053,0.463,0.0,0.0,0.0,0.268,0.242,0.0,0.0,0.0,0.0,0.707,0.0,0.0,0.0,0.75,0.0,0.0,18.2
train_00054,0.463,0.0,0.0,0.0,0.0,0.0,0.221,0.0,0.786,0.607,0.0,0.0,0.0,0.0,0.0,0.0,0.191,4.9
train_00055,0.0,0.47,0.0,0.0,0.0,0.484,0.221,0.0,0.0,0.0,0.0,0.428,0.0,0.389,0.0,0.0,0.0,21.7
train_00056,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.352,0.786,0.0,0.0,0.0,0.52,0.0,0.0,0.203,0.0,5.5
train_00057,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.0,0.0,0.52,0.195,0.0,0.203,0.0,5.7
train_00058,0.0,0.0,0.0,0.0,0.268,0.0,0.0,0.176,0.786,0.405,0.0,0.642,0.0,0.0,0.0,0.0,0.0,4.9
train_00059,0.0,0.0,0.0,0.441,0.536,0.0,0.0,0.176,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.382,5.1
train_00060,0.0,0.218,0.0,0.0,0.166,0.708,0.0,0.0,0.373,0.0,0.0,0.0,0.238,0.0,0.0,0.0,0.0,4.4
train_00061,0.728,0.0,0.0,0.733,0.0,0.177,0.0,0.0,0.0,0.259,0.0,0.0,0.476,0.0,0.0,0.0,0.0,4.8
train_00062,0.0,0.218,0.449,0.0,0.0,0.708,0.0,0.451,0.0,0.0,0.0,0.0,0.238,0.0,0.0,0.0,0.0,4.5
train_00063,0.243,0.0,0.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621,0.0,0.714,0.0,0.0,0.217,0.0,4.1
train_00064,0.0,0.0,0.674,0.0,0.0,0.0,0.203,0.226,0.0,0.776,0.0,0.0,0.476,0.0,0.0,0.0,0.0,10.6
train_00065,0.0,0.0,0.449,0.0,0.332,0.0,0.203,0.0,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,5.0
train_00066,0.243,0.0,0.0,0.244,0.0,0.0,0.0,0.226,0.373,0.0,0.0,0.0,0.0,0.0,0.689,0.0,0.0,4.8
train_00067,0.728,0.436,0.0,0.0,0.0,0.0,0.203,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434,0.0,4.8
train_00068,0.728,0.436,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.434,0.0,5.0
train_00069,0.0,0.0,0.0,0.489,0.0,0.354,0.203,0.0,0.0,0.0,0.0,0.0,0.476,0.0,0.0,0.65,0.0,5.2
train_00070,0.0,0.0,0.449,0.0,0.664,0.177,0.0,0.0,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,4.3
train_00071,0.0,0.0,0.225,0.0,0.0,0.531,0.0,0.451,0.0,0.517,0.621,0.0,0.0,0.0,0.0,0.0,0.0,4.2
train_00072,0.0,0.0,0.225,0.0,0.0,0.0,0.203,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.344,0.0,0.888,4.0
train_00073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.654,0.211,0.153,0.22,0.0,0.519,0.0,4.9
train_00074,0.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,1.088,0.0,0.0,0.0,0.329,0.114,0.0,0.0,4.7
train_00075,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.521,0.0,0.0,0.106,0.0,0.22,0.0,0.074,0.0,4.6
train_00076,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.0,0.608,0.363,0.374,0.0,0.0,0.0,0.0,0.371,0.0,4.1
train_00077,0.0,0.0,0.0,0.0,0.0,0.816,0.0,0.0,0.203,0.0,0.0,0.317,0.076,0.0,0.0,0.0,0.159,4.6
train_00078,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.0,0.0,0.846,0.0,0.0,0.0,0.549,0.341,0.223,0.0,9.6
train_00079,0.83,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.811,0.0,0.187,0.211,0.0,0.0,0.0,0.0,0.0,4.4
train_00080,0.415,0.0,0.0,0.0,0.0,0.0,0.227,0.0,0.0,1.329,0.0,0.211,0.0,0.0,0.0,0.148,0.0,7.9
train_00081,0.0,0.0,0.0,0.0,0.0,1.02,0.113,0.0,0.0,0.0,0.187,0.633,0.0,0.11,0.0,0.0,0.0,20.5
train_00082,0.0,0.0,0.774,0.0,0.0,0.714,0.0,0.0,0.0,0.0,0.187,0.211,0.0,0.0,0.0,0.0,0.219,4.4
train_00083,0.83,0.0,0.0,0.0,0.253,0.0,0.113,0.0,0.0,0.483,0.654,0.0,0.0,0.0,0.0,0.0,0.0,15.2
train_00084,0.0,0.0,0.442,0.529,1.01,0.0,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.0,0.0,4.7
train_00085,0.0,0.232,0.0,0.0,0.126,0.0,0.0,0.0,0.507,0.0,0.0,0.0,0.0,0.0,1.023,0.223,0.0,5.2
train_00086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.242,0.841,0.0,0.0,0.439,0.0,0.0,0.071,4.4
train_00087,1.798,0.0,0.0,0.265,0.0,0.0,0.0,0.205,0.0,0.121,0.0,0.0,0.0,0.0,0.227,0.0,0.0,5.7
train_00088,0.415,0.0,0.0,0.529,0.0,0.0,0.227,0.0,0.0,0.725,0.0,0.0,0.0,0.549,0.0,0.0,0.0,4.3
train_00089,0.0,0.0,0.0,0.0,0.886,0.0,0.0,0.0,0.633,0.16,0.0,0.0,0.0,0.0,0.092,0.0,0.106,3.9
train_00090,0.649,0.193,0.0,0.0,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.0,0.0,0.0,0.057,0.0,9.8
train_00091,0.0,0.0,0.181,0.0,0.0,0.089,0.0,0.0,0.0,0.4,0.951,0.0,0.0,0.212,0.0,0.0,0.0,4.4
train_00092,0.0,0.096,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.365,0.0,0.092,0.0,0.0,30.5
train_00093,0.865,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.292,0.0,0.0,0.0,0.271,4.3
train_00094,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.469,0.0,0.0,0.665,0.082,0.0,0.0,0.0,0.283,0.0,4.8
train_00095,0.0,0.193,0.0,0.0,0.62,0.626,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,22.2
train_00096,0.433,0.0,0.09,0.0,0.266,0.0,0.0,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,4.4
train_00097,0.0,0.0,0.903,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.329,0.073,0.0,0.0,0.057,0.0,4.0
train_00098,0.0,0.0,0.0,0.0,0.798,0.0,0.0,0.0,0.122,0.24,0.0,0.0,0.0,0.424,0.0,0.0,0.122,4.7
train_00099,0.0,0.0,0.0,0.366,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.219,0.0,0.183,0.17,0.0,4.3
train_00100,0.865,0.193,0.0,0.0,0.443,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.424,0.0,0.0,0.0,34.0
train_00101,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.877,0.0,0.367,0.057,0.0,11.2
train_00102,0.0,0.0,0.632,0.0,0.0,0.089,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.424,0.0,0.0,1.176,4.4
train_00103,0.823,0.0,0.13,0.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.0,0.0,0.373,0.0,0.0,4.7
train_00104,0.0,0.0,0.13,0.0,0.0,0.405,0.0,0.0,0.869,0.411,0.0,0.0,0.0,0.0,0.093,0.0,0.0,3.7
train_00105,0.137,0.0,0.909,0.102,0.0,0.0,0.138,0.0,0.0,0.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
train_00106,0.137,0.0,0.0,0.0,1.099,0.0,0.069,0.084,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,8.1
train_00107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.0,0.338,0.0,0.165,0.28,0.0,0.465,4.0
train_00108,0.0,0.0,0.909,0.0,0.481,0.0,0.0,0.168,0.0,0.0,0.0,0.085,0.0,0.0,0.28,0.0,0.0,6.2
train_00109,0.0,0.105,0.0,0.0,0.0,0.243,0.0,0.0,1.572,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.393,3.7
train_00110,0.0,0.0,0.0,0.511,0.0,0.0,0.0,0.336,0.0,0.0,0.0,0.0,1.09,0.0,0.093,0.067,0.0,4.2
train_00111,0.0,0.0,0.0,0.0,0.206,0.486,0.0,0.0,0.143,0.616,0.114,0.0,0.0,0.0,0.0,0.0,0.0,4.0
train_00112,0.0,0.315,0.649,0.0,0.069,0.0,0.0,0.0,0.0,0.924,0.0,0.0,0.242,0.0,0.0,0.0,0.0,3.6
train_00113,0.0,0.0,0.0,0.0,0.0,0.486,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.165,0.373,0.0,0.165,4.0
train_00114,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.265,0.0,0.398,0.254,0.0,0.0,0.0,0.268,0.0,3.9
train_00115,1.235,0.0,0.0,0.0,0.0,0.324,0.138,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.618,3.7
train_00116,2.058,0.0,0.0,0.102,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.242,0.0,0.0,0.0,0.0,3.9
train_00117,0.137,0.0,0.26,0.102,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,3.7
train_00118,0.0,0.172,0.135,0.0,0.0,0.0,0.229,0.0,0.0,0.0,0.783,0.0,0.0,0.0,0.577,0.0,0.0,19.1
train_00119,0.0,0.0,0.0,0.331,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.104,0.813,0.0,0.0,0.346,0.0,3.5
train_00120,0.0,0.6,0.0,0.0,0.0,0.709,0.0,0.118,0.0,0.0,0.0,0.0,0.068,0.0,0.385,0.0,0.0,5.0
train_00121,0.482,0.0,0.0,0.0,0.846,0.0,0.0,0.118,0.0,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.663,4.2
train_00122,0.0,0.086,0.203,0.0,0.0,0.912,0.0,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.577,0.0,0.0,9.1
train_00123,0.0,0.0,0.0,0.442,0.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271,0.0,0.0,0.231,1.008,3.7
train_00124,0.675,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.231,1.084,3.6
train_00125,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.412,0.0,0.293,0.0,0.0,0.0,0.0,0.461,0.103,3.7
train_00126,0.0,0.086,0.0,0.663,0.282,0.811,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5
train_00127,0.0,0.0,0.0,0.221,0.423,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.407,0.0,0.0,0.576,0.0,4.8
train_00128,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.0,0.0,0.672,0.587,0.0,0.203,0.302,0.0,0.0,0.0,11.8
train_00129,0.0,0.0,0.0,0.0,0.0,0.101,0.343,0.236,0.0,0.896,0.0,0.0,0.0,0.0,0.577,0.0,0.0,4.6
train_00130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.293,0.0,0.0,0.201,0.481,0.807,0.0,6.7
train_00131,0.482,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.474,0.0,0.0,0.0,0.064,3.5
train_00132,0.0,0.0,0.0,0.0,0.0,0.0,0.457,0.472,0.248,0.0,0.0,0.0,0.0,0.0,0.577,0.461,0.0,4.1
train_00133,0.0,0.0,0.053,0.261,0.0,0.744,0.0,0.0,0.0,0.0,0.0,0.415,0.0,0.0,0.37,0.0,0.0,3.7
train_00134,0.0,0.582,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.808,0.0,0.0,0.593,0.159,0.0,0.0,0.0,3.6
train_00135,0.0,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.0,0.113,0.0,0.0,0.398,0.0,0.586,0.0,3.3
train_00136,0.0,0.466,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,1.015,0.0,0.0,0.0,0.296,0.073,0.0,4.8
train_00137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.0,0.104,0.356,0.637,0.0,0.293,0.0,3.5
train_00138,0.0,0.0,0.0,0.435,0.186,0.0,0.0,0.0,0.0,0.115,0.0,0.622,0.711,0.0,0.0,0.0,0.0,3.6
train_00139,0.0,0.0,0.212,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.666,0.22,0.0,3.7
train_00140,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.406,0.0,0.451,0.0,0.0,0.0,0.0,0.367,0.609,4.0
train_00141,0.624,0.0,0.0,0.261,0.464,0.0,0.298,0.0,0.0,0.0,0.226,0.0,0.0,0.0,0.0,0.0,0.0,4.1
train_00142,0.357,0.0,0.0,0.261,0.649,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.0,0.0,0.293,0.0,3.7
train_00143,0.178,0.0,0.0,0.0,0.278,0.0,0.0,0.451,0.0,0.0,0.789,0.0,0.0,0.0,0.0,0.0,0.328,3.2
train_00144,0.0,0.233,0.0,0.087,0.0,0.0,0.0,0.0,0.149,0.0,0.0,0.0,0.0,0.637,0.444,0.0,0.0,4.5
train_00145,0.0,0.0,0.0,0.0,0.186,0.85,0.398,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,3.4
train_00146,0.0,0.582,0.0,0.0,0.0,0.0,0.398,0.0,0.0,0.0,0.338,0.0,0.0,0.557,0.074,0.0,0.0,20.2
train_00147,0.0,0.116,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398,0.0,0.513,0.383,3.2
train_00148,0.0,0.0,0.0,0.0,0.0,0.0,0.597,0.225,0.0,0.0,0.0,0.0,0.119,0.08,0.74,0.0,0.0,9.2
train_00149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.0,0.623,0.135,0.48,0.281,1.1
train_00150,0.0,0.0,0.0,0.109,0.0,1.019,0.259,0.0,0.0,0.294,0.0,0.0,0.0,0.0,0.0,0.24,0.0,3.0
train_00151,0.0,0.0,0.0,0.218,0.0,0.0,0.517,0.0,0.0,0.588,0.0,0.0,0.0,0.0,0.338,0.08,0.0,0.9
train_00152,0.0,0.0,0.914,0.0,0.352,0.306,0.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,18.7
train_00153,0.14,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588,0.0,0.126,0.0,0.0,0.0,0.64,0.0,1.2
train_00154,0.0,0.0,0.0,0.109,0.117,0.306,0.0,0.0,0.0,1.175,0.0,0.0,0.0,0.267,0.0,0.0,0.0,1.2
train_00155,0.0,0.311,0.114,0.218,0.469,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,1.2
train_00156,0.35,0.545,0.0,0.0,0.704,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,40.0
train_00157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.063,0.289,0.0,0.203,0.0,0.183,0.8
train_00158,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.247,0.0,0.098,0.0,0.0,0.289,0.445,0.0,0.0,0.0,13.1
train_00159,0.28,0.156,0.0,0.0,0.0,0.0,0.0,0.329,0.0,0.0,0.428,0.0,0.0,0.0,0.338,0.0,0.0,2.2
train_00160,0.14,0.0,0.571,0.437,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,1.1
train_00161,0.0,0.0,0.229,0.0,0.0,0.51,0.0,0.0,0.372,0.0,0.0,0.0,0.0,0.356,0.0,0.48,0.0,1.2
train_00162,0.0,0.0,0.343,0.655,0.352,0.0,0.0,0.0,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.673,1.0
train_00163,0.264,0.083,0.424,0.0,0.0,0.0,0.422,0.0,0.0,0.0,1.092,0.0,0.0,0.0,0.0,0.0,0.0,14.7
train_00164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.533,0.275,0.0,0.105,0.28,2.1
train_00165,0.0,0.333,0.706,0.0,0.0,0.0,0.316,0.077,0.0,0.0,0.0,0.0,0.747,0.0,0.0,0.0,0.0,18.8
train_00166,0.0,0.333,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.0,0.0,0.9,0.0,0.228,1.7
train_00167,0.132,0.0,0.0,0.0,0.0,0.434,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.963,0.0,0.0,0.918,1.5
train_00168,0.0,0.0,0.141,0.0,0.0,1.158,0.211,0.0,0.497,0.0,0.0,0.0,0.0,0.825,0.0,0.0,0.0,1.9
train_00169,0.0,0.0,0.706,0.0,0.0,0.0,0.211,0.0,0.0,0.738,0.0,0.586,0.107,0.0,0.0,0.0,0.0,10.1
train_00170,0.066,0.0,0.0,0.0,0.217,0.0,0.0,0.0,0.615,1.107,0.0,0.0,0.0,0.413,0.0,0.0,0.0,1.8
train_00171,0.0,0.0,0.0,0.0,0.325,0.0,0.843,0.0,0.0,0.492,0.0,0.195,0.0,0.0,0.337,0.0,0.0,18.4
train_00172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.586,0.747,0.413,0.112,0.0,0.0,5.2
train_00173,0.595,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.0,0.098,0.0,0.0,0.0,0.0,0.132,1.9
train_00174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.369,0.136,0.0,0.0,0.825,0.787,0.0,0.0,3.3
train_00175,0.0,0.0,0.0,0.0,0.325,1.014,0.0,0.077,0.0,0.0,0.409,0.0,0.0,0.0,0.675,0.0,0.0,5.5
train_00176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.044,0.246,0.0,0.488,0.0,0.0,0.675,0.105,0.0,1.6
train_00177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.1,0.112,0.105,0.636,1.3
train_00178,0.0,0.0,0.0,0.585,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.419,0.0,0.676,0.0,0.471,0.0,1.5
