id,target
test_00308,2.6
test_00309,-5.5
test_00310,14.0
test_00311,-10.0
test_00312,-5.4
test_00313,-15.1
test_00314,-1.5
test_00315,0.0
test_00316,0.0
test_00317,-11.0
test_00318,-1.2
test_00319,0.0
test_00320,1.0
test_00321,-23.4
test_00322,-5.3
test_00323,-4.75
test_00324,-2.0
test_00325,-0.5
test_00326,-5.2
test_00327,-3.0
test_00328,0.91
test_00329,4.0
test_00330,-1.6
test_00331,-1.0
test_00332,-8.0
test_00333,0.33
test_00334,-10.55
test_00335,-4.9
test_00336,-13.6
test_00337,0.0
test_00338,-4.0
test_00339,4.5
test_00340,-9.190000000000001
test_00341,0.905
test_00342,-7.4
test_00343,0.0
test_00344,-6.4
test_00345,-5.7
test_00346,-9.0
test_00347,-0.5
test_00348,-4.8
test_00349,-5.7
test_00350,3.4
test_00351,0.1
test_00352,1.7
test_00353,-6.1
test_00354,-2.55
test_00355,-0.67
test_00356,0.5
test_00357,0.0
test_00358,-10.4
test_00359,4.0
test_00360,0.0
test_00361,-8.55
test_00362,10.4
test_00363,1.4
test_00364,1.2885714285714285
test_00365,-1.1
test_00366,-0.12
test_00367,-2.4
test_00368,-3.0
test_00369,-1.2
test_00370,0.54
test_00371,-0.8
test_00372,1.2666666666666666
test_00373,-16.8
test_00374,-0.5
test_00375,-1.5
test_00376,1.6
test_00377,-5.3999999999999995
test_00378,-0.5
test_00379,-2.1
test_00380,2.33
test_00381,-3.75
test_00382,-0.5
test_00383,-8.6
test_00384,-1.5999999999999999
test_00385,-11.2
test_00386,0.8
test_00387,1.0
test_00388,-4.6
test_00389,-1.25
test_00390,-11.75
test_00391,-0.5
test_00392,-7.7
test_00393,-6.8
test_00394,-0.6
test_00395,-4.3
test_00396,5.3
test_00397,1.0
test_00398,0.6975
test_00399,-1.7
test_00400,-1.5
test_00401,0.7825
test_00402,-7.0
test_00403,-25.799999999999997
test_00404,2.7
test_00405,-16.0
test_00406,3.6
test_00407,-1.5
test_00408,2.5
test_00409,3.4333333333333336
test_00410,-6.733333333333333
test_00411,-38.2
test_00412,-15.6
test_00413,1.0
test_00414,-4.9
test_00415,5.5
test_00416,0.1
test_00417,-1.0
test_00418,-16.7
test_00419,-14.5
test_00420,-0.5
test_00421,-2.0
test_00422,5.25
test_00423,-0.8
test_00424,5.1
test_00425,-1.5
test_00426,-8.5
test_00427,-2.9
test_00428,0.2
test_00429,-16.0
test_00430,-4.0
test_00431,0.395
test_00432,-4.8
test_00433,0.5
test_00434,1.25
test_00435,-21.8
test_00436,0.5
test_00437,2.5
test_00438,-0.4
test_00439,-5.5
test_00440,0.0
test_00441,-0.5
test_00442,-2.5
test_00443,-4.5
test_00444,0.0
test_00445,-0.33
test_00446,5.1
test_00447,-10.55
test_00448,-19.7
test_00449,-3.3
test_00450,2.83
test_00451,-5.1
test_00452,1.3500000000000003
test_00453,0.5
test_00454,2.25
test_00455,-2.6
test_00456,-0.5
test_00457,0.0
test_00458,0.0
test_00459,4.2
test_00460,-1.75
test_00461,-5.7
test_00462,17.0
test_00463,0.49
test_00464,-7.6
test_00465,7.0
test_00466,0.5
test_00467,-9.633333333333333
test_00468,-1.5
test_00469,-34.3
test_00470,12.17
test_00471,2.0
test_00472,-0.7333333333333334
test_00473,-7.9
test_00474,-1.2
test_00475,-7.4
test_00476,-1.4500000000000002
test_00477,7.83
test_00478,-8.9
test_00479,-0.19999999999999996
test_00480,-0.2
test_00481,-19.3
test_00482,-15.4
test_00483,-2.3
test_00484,0.5
test_00485,0.0
test_00486,0.6
test_00487,-4.8
test_00488,-22.9
test_00489,-12.799999999999999
test_00490,-20.6
test_00491,0.5
test_00492,0.915
test_00493,-8.35
test_00494,-2.4
test_00495,-13.6
test_00496,-2.533333333333333
test_00497,0.18
test_00498,0.5
test_00499,1.5
test_00500,-4.5
test_00501,-1.95
test_00502,-1.6
test_00503,-1.5
test_00504,2.6
test_00505,-0.5
test_00506,-3.25
test_00507,0.1
test_00508,0.5
test_00509,-3.5
test_00510,0.0
test_00511,-1.5
test_00512,4.5
test_00513,0.0
test_00514,2.2
test_00515,-9.3
test_00516,-1.0
test_00517,-2.45
test_00518,-5.6
test_00519,-5.3
test_00520,2.0
test_00521,13.45
test_00522,-1.5
test_00523,1.7
test_00524,-0.4
test_00525,-21.7
test_00526,2.17
test_00527,1.2
test_00528,2.2785714285714285
test_00529,-3.7
test_00530,2.5
test_00531,32.5
test_00532,2.0
test_00533,-1.7
test_00534,0.4
test_00535,-2.3
test_00536,-2.6
test_00537,7.17
test_00538,1.5999999999999999
test_00539,-1.78
test_00540,-1.25
test_00541,-0.5
test_00542,7.9
test_00543,-3.5
test_00544,1.7
test_00545,1.21
test_00546,4.2
test_00547,-6.3
test_00548,3.0
test_00549,-20.4
test_00550,0.0
test_00551,0.0
test_00552,1.5
test_00553,-8.2
test_00554,-0.3
test_00555,5.9
test_00556,-2.0
test_00557,-0.5
test_00558,-1.0
test_00559,-0.8
test_00560,-1.0
test_00561,-0.5
test_00562,-0.30000000000000004
test_00563,2.0
test_00564,-1.5
test_00565,0.0
test_00566,-0.6
test_00567,-2.5
test_00568,2.0
test_00569,1.0
test_00570,-5.0
test_00571,1.5
test_00572,-1.27
test_00573,-1.0
test_00574,2.3
test_00575,-1.5
test_00576,3.7
test_00577,-5.0
test_00578,2.0
test_00579,-0.33
test_00580,-4.9
test_00581,2.25
test_00582,-16.6
test_00583,1.0
test_00584,-6.0
test_00585,-0.5
test_00586,-0.2
test_00587,-1.55
test_00588,-3.75
test_00589,-2.9
test_00590,2.6
test_00591,-5.7
test_00592,-7.35
test_00593,-1.25
test_00594,4.0
test_00595,-0.1
test_00596,-3.9
test_00597,0.5
test_00598,-0.64
test_00599,-13.2
test_00600,9.8
test_00601,-0.5
test_00602,1.67
test_00603,-1.0
test_00604,4.0
test_00605,3.0
test_00606,2.0
test_00607,0.32
test_00608,3.0
test_00609,0.5
test_00610,-13.8
test_00611,-4.2
test_00612,0.5
test_00613,0.0
test_00614,-9.2
test_00615,-0.5
test_00616,-2.25
test_00617,2.5
test_00618,-1.8
test_00619,0.2
test_00620,-3.75
test_00621,-2.0
test_00622,-0.4
test_00623,-1.0
test_00624,-13.1
test_00625,0.6111111111111112
test_00626,2.3
test_00627,-0.5
test_00628,-0.67
test_00629,3.25
test_00630,-2.0
test_00631,4.0
test_00632,-6.8
test_00633,-0.8
test_00634,0.6
test_00635,0.75
test_00636,-1.5
test_00637,1.0
test_00638,3.0
test_00639,-0.58
test_00640,2.5
test_00641,0.2
test_00642,1.5
test_00643,-0.52
test_00644,-0.5
test_00645,-1.0
test_00646,0.52
test_00647,0.03
test_00648,-5.5
test_00649,-2.33
test_00650,4.75
test_00651,0.0
test_00652,-2.0
test_00653,-5.8
test_00654,-0.7
test_00655,6.0
test_00656,-6.0
test_00657,-7.47
test_00658,-4.1
test_00659,4.0
test_00660,-0.8
test_00661,-18.1
test_00662,2.5
test_00663,-10.580000000000002
test_00664,0.8157142857142857
test_00665,-1.8
test_00666,-0.305
test_00667,1.4
test_00668,-1.0
test_00669,-8.8
test_00670,0.0
test_00671,-0.495
test_00672,0.5
test_00673,-1.0
test_00674,-7.199999999999999
test_00675,-0.33
test_00676,4.5
test_00677,4.0
test_00678,4.1
test_00679,-3.05
test_00680,0.22
test_00681,-0.2
test_00682,-0.5
test_00683,0.9433333333333334
test_00684,-0.39999999999999997
test_00685,9.0
test_00686,7.0
test_00687,2.3
test_00688,-1.3
test_00689,0.0
test_00690,1.4
test_00691,-3.0
test_00692,1.5
test_00693,-0.9
test_00694,9.4
test_00695,-0.9
test_00696,-6.0
test_00697,11.6
test_00698,-0.8
test_00699,-7.1
test_00700,-5.2
test_00701,-1.8666666666666665
test_00702,3.5
test_00703,1.0
test_00704,-5.4
test_00705,-5.8
test_00706,13.5
test_00707,2.0
test_00708,-0.6
test_00709,0.0
test_00710,-2.3833333333333333
test_00711,0.5
test_00712,-0.43
test_00713,-2.6
test_00714,0.5
test_00715,0.7
test_00716,-1.0
test_00717,11.6
test_00718,-3.25
test_00719,-0.5
test_00720,-6.7
test_00721,5.5
test_00722,-3.2
test_00723,-2.1
test_00724,1.0
test_00725,-7.05
test_00726,-5.8
test_00727,-1.5999999999999999
test_00728,6.17
test_00729,-3.0
test_00730,-2.25
test_00731,-4.9
test_00732,-23.4
test_00733,-0.5
test_00734,-11.9
test_00735,-10.4
test_00736,-13.3
test_00737,1.0
test_00738,0.8
test_00739,1.25
test_00740,-1.3
test_00741,-6.15
test_00742,0.0
test_00743,0.5
test_00744,-11.1
test_00745,0.15
test_00746,-2.0
test_00747,-4.1
test_00748,-2.9
test_00749,0.0
test_00750,-0.385
test_00751,0.8
test_00752,11.6
test_00753,-3.25
test_00754,-3.3
test_00755,-5.0
test_00756,1.4
test_00757,-13.64
test_00758,-0.1
test_00759,0.7
test_00760,3.4666666666666663
test_00761,0.0
test_00762,7.0
test_00763,-1.0
test_00764,-15.2
test_00765,-1.4
test_00766,3.5
test_00767,-12.75
test_00768,-1.0
test_00769,-5.8
test_00770,0.0
test_00771,1.0
test_00772,0.25
test_00773,-1.5
test_00774,-2.1
test_00775,-4.75
test_00776,-12.95
test_00777,-25.8
test_00778,8.0
test_00779,-5.1
test_00780,-0.5
test_00781,0.0
test_00782,2.0
test_00783,-5.877777777777777
test_00784,-1.0
test_00785,1.0
test_00786,-1.0
test_00787,-2.3
test_00788,-0.5
test_00789,11.3
test_00790,-3.25
test_00791,6.0
test_00792,-0.9
test_00793,-2.8
test_00794,3.0
test_00795,3.0
test_00796,0.30000000000000004
test_00797,-4.9
test_00798,-6.4
test_00799,-5.7
test_00800,-5.3
test_00801,-5.8
test_00802,0.5
test_00803,-4.699999999999999
test_00804,-11.0
test_00805,2.5
test_00806,7.6
test_00807,-2.9
test_00808,-2.0
test_00809,2.0
test_00810,4.0
test_00811,-8.75
test_00812,15.0
test_00813,-10.7
test_00814,-3.4
test_00815,-4.0
test_00816,-8.2
test_00817,-4.0
test_00818,-7.5
test_00819,1.25
test_00820,-2.7
test_00821,-1.5
test_00822,-2.2
test_00823,-3.7
test_00824,-3.85
test_00825,0.6
test_00826,-13.9
test_00827,-6.522222222222222
test_00828,0.5
test_00829,-9.7
test_00830,-7.6
test_00831,-1.1
test_00832,0.5
test_00833,-6.75
test_00834,-19.65
test_00835,-2.6
test_00836,3.64
test_00837,0.0
test_00838,-0.5
test_00839,0.23
test_00840,-4.6
test_00841,-3.233333333333333
test_00842,4.0
test_00843,4.0
test_00844,-4.3
test_00845,3.5
test_00846,-7.3
test_00847,-8.5
test_00848,-2.9
test_00849,-1.5
test_00850,-1.8
test_00851,0.14
test_00852,21.1
test_00853,-5.1
test_00854,-2.6
test_00855,-19.8
test_00856,-1.0
test_00857,2.4
test_00858,-6.3
test_00859,-11.35
test_00860,-2.5
test_00861,-0.35
test_00862,-13.0
test_00863,-1.53
test_00864,-5.0
test_00865,0.67
test_00866,0.5
test_00867,0.09999999999999999
test_00868,2.4
test_00869,0.0
test_00870,2.2
test_00871,1.25
test_00872,-0.2
test_00873,-1.0
test_00874,-1.2999999999999998
test_00875,-15.8
test_00876,-4.8
test_00877,-8.55
test_00878,-20.3
test_00879,-2.3
test_00880,14.25
test_00881,1.09
test_00882,-0.5
test_00883,-1.8
test_00884,-4.4
test_00885,-7.4225
test_00886,-5.55
test_00887,4.7
test_00888,-7.5
test_00889,-2.7
test_00890,1.1
test_00891,-0.5
test_00892,12.9
test_00893,-7.7
test_00894,-1.5
test_00895,8.850000000000001
test_00896,-0.7000000000000001
test_00897,-7.0
test_00898,0.0
test_00899,-0.67
test_00900,-5.3
test_00901,-7.666666666666667
test_00902,-7.8
test_00903,-0.99
test_00904,-2.89
test_00905,-1.77
test_00906,-7.6875
test_00907,-0.4
test_00908,-5.5
test_00909,4.5
test_00910,-12.2
test_00911,-0.71
test_00912,0.755
test_00913,-6.5
test_00914,-9.200000000000001
test_00915,3.0
test_00916,0.75
test_00917,0.8
test_00918,-5.2
test_00919,0.0
test_00920,1.5
test_00921,3.83
test_00922,1.9
test_00923,-7.5
test_00924,2.3
test_00925,-13.2
test_00926,-0.6
test_00927,-0.5
test_00928,20.0
test_00929,-8.899999999999999
test_00930,11.549999999999999
test_00931,-1.9
test_00932,-3.3316666666666666
test_00933,14.75
test_00934,-2.67
test_00935,-2.4
test_00936,-10.2
test_00937,5.0
test_00938,1.5
test_00939,-5.9
test_00940,-0.6
test_00941,-8.8
test_00942,1.0
test_00943,6.2
test_00944,2.67
test_00945,0.0
test_00946,-0.5
test_00947,1.8
test_00948,1.1
test_00949,1.5
test_00950,-0.7999999999999999
test_00951,1.0
test_00952,-4.4
test_00953,-9.2
test_00954,-2.0
test_00955,-2.6
test_00956,0.0
test_00957,3.3
test_00958,-0.7849999999999999
test_00959,-0.1
test_00960,-1.0
test_00961,-2.46
test_00962,-0.25
test_00963,-2.1
test_00964,3.1
test_00965,-1.8
test_00966,-1.0
test_00967,5.8
test_00968,-4.4
test_00969,-3.0
test_00970,-1.4
test_00971,-1.5
test_00972,0.0
test_00973,-5.987142857142857
test_00974,0.7999999999999999
test_00975,-5.0
test_00976,-2.0
test_00977,-1.0
test_00978,-9.8
test_00979,-7.8
test_00980,-10.0
test_00981,-0.4
test_00982,4.5
test_00983,1.0
test_00984,-16.9
test_00985,9.4
test_00986,0.91
test_00987,-5.5
test_00988,-0.83
test_00989,-1.5
test_00990,0.17
test_00991,1.0
test_00992,-4.0
test_00993,-5.1
test_00994,1.6
test_00995,0.8
test_00996,13.4
test_00997,4.9
test_00998,2.83
test_00999,0.5
test_01000,2.5
test_01001,0.92
test_01002,0.0
test_01003,-1.4
test_01004,-2.5
test_01005,-2.0
test_01006,-0.5
test_01007,-4.7
test_01008,-4.45
test_01009,0.5
test_01010,1.5
test_01011,-4.3
test_01012,1.75
test_01013,-7.3
test_01014,-0.3
test_01015,1.2
test_01016,3.2
test_01017,-6.26
test_01018,-24.0
test_01019,-0.5
test_01020,-10.32
test_01021,-4.3
test_01022,0.57
test_01023,-8.6
test_01024,-8.6
test_01025,-26.8
test_01026,2.0
test_01027,-14.8
test_01028,-3.1666666666666665
test_01029,-10.6
test_01030,-1.2
test_01031,-0.6
test_01032,-0.27999999999999997
test_01033,0.5
test_01034,1.5
test_01035,3.6
test_01036,0.0
test_01037,1.0
test_01038,-15.2
test_01039,-10.899999999999999
test_01040,-1.0
test_01041,-15.3
test_01042,-0.75
test_01043,-5.1
test_01044,-0.75
test_01045,0.5
test_01046,-11.6
test_01047,-2.5
test_01048,3.0
test_01049,-1.7
