id,age_band,work_type,education_level,role_type,household_type,capital_gain_band,capital_loss_band,weekly_hours_band,region_type,protected_group,label
train_0031,band_2,self_employed,16,technical,partnered,none,none,high,domestic,group_a,1
train_0032,band_2,private,8,operations,shared_household,none,none,standard,domestic,group_b,0
train_0033,band_3,private,15,technical,partnered,none,none,high,domestic,group_b,1
train_0034,band_3,private,9,operations,partnered,none,none,standard,domestic,group_a,1
train_0035,band_1,private,6,operations,partnered,none,none,standard,domestic,group_b,0
train_0036,band_3,public,13,technical,partnered,none,none,high,domestic,group_b,0
train_0037,band_2,private,9,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0038,band_2,public,14,commercial_admin,independent,none,none,standard,domestic,group_b,0
train_0039,band_2,private,15,technical,partnered,none,none,high,domestic,group_a,1
train_0040,band_2,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0041,band_4,private,5,operations,partnered,low,none,standard,domestic,group_a,0
train_0042,band_2,private,7,commercial_admin,independent,low,none,low,domestic,group_a,0
train_0043,band_1,private,9,operations,independent,none,none,standard,domestic,group_b,0
train_0044,band_3,private,10,operations,partnered,none,none,standard,domestic,group_b,1
train_0045,band_2,self_employed,5,operations,partnered,low,none,low,domestic,group_b,0
train_0046,band_2,private,3,operations,partnered,none,none,standard,regional,group_b,0
train_0047,band_2,public,13,technical,partnered,high,none,standard,domestic,group_b,1
train_0048,band_1,private,11,commercial_admin,independent,none,none,standard,domestic,group_a,0
train_0049,band_2,private,9,technical,partnered,none,none,standard,domestic,group_b,0
train_0050,band_1,private,9,operations,shared_household,none,none,high,domestic,group_b,0
train_0051,band_3,self_employed,9,technical,partnered,none,none,standard,domestic,group_b,0
train_0052,band_1,private,6,operations,partnered,none,none,high,regional,group_a,0
train_0053,band_2,private,9,operations,shared_household,none,none,standard,domestic,group_a,0
train_0054,band_1,private,13,operations,independent,none,none,standard,domestic,group_b,0
train_0055,band_3,private,10,technical,shared_household,none,none,standard,domestic,group_a,0
train_0056,band_2,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0057,band_2,self_employed,13,commercial_admin,partnered,none,none,high,domestic,group_b,0
train_0058,band_2,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0059,band_2,private,9,operations,partnered,none,none,standard,domestic,group_b,1
train_0060,band_2,private,12,commercial_admin,partnered,none,none,low,domestic,group_b,0
train_0061,band_2,public,9,service,shared_household,none,none,low,domestic,group_a,0
train_0062,band_2,self_employed,13,technical,partnered,high,none,high,domestic,group_b,1
train_0063,band_1,private,9,operations,independent,none,none,standard,domestic,group_b,0
train_0064,band_3,private,9,commercial_admin,partnered,none,none,standard,domestic,group_b,0
train_0065,band_2,private,8,operations,partnered,none,none,standard,domestic,group_b,0
train_0066,band_1,private,10,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0067,band_2,private,13,technical,independent,none,none,standard,domestic,group_a,0
train_0068,band_2,private,10,commercial_admin,independent,none,none,standard,domestic,group_a,0
train_0069,band_3,private,9,commercial_admin,partnered,none,none,high,domestic,group_b,1
train_0070,band_2,private,3,operations,partnered,none,none,standard,regional,group_b,0
train_0071,band_2,private,11,technical,independent,low,none,standard,domestic,group_a,0
train_0072,band_3,private,2,service,shared_household,none,none,standard,regional,group_a,0
train_0073,band_1,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0074,band_1,private,11,operations,independent,none,none,low,domestic,group_b,0
train_0075,band_1,private,10,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0076,band_2,private,9,commercial_admin,partnered,none,none,standard,domestic,group_b,0
train_0077,band_2,private,10,operations,partnered,none,none,standard,domestic,group_b,0
train_0078,band_3,private,9,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0079,band_1,private,10,commercial_admin,partnered,none,none,standard,domestic,group_b,0
train_0080,band_2,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0081,band_2,public,10,commercial_admin,partnered,none,none,standard,domestic,group_b,0
train_0082,band_1,private,10,commercial_admin,partnered,none,none,standard,domestic,group_b,0
train_0083,band_2,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0084,band_3,public,4,service,shared_household,none,none,standard,other_international,group_a,0
train_0085,band_3,public,10,technical,independent,none,none,standard,domestic,group_a,0
train_0086,band_1,public,9,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0087,band_2,private,9,operations,independent,none,none,high,domestic,group_b,0
train_0088,band_2,self_employed,13,operations,partnered,none,none,high,domestic,group_a,1
train_0089,band_3,private,9,service,partnered,high,none,standard,regional,group_b,1
train_0090,band_2,private,10,commercial_admin,partnered,none,none,high,domestic,group_b,1
train_0091,band_2,private,9,service,shared_household,none,none,standard,domestic,group_a,0
train_0092,band_1,self_employed,10,technical,shared_household,none,none,low,domestic,group_a,0
train_0093,band_2,private,10,technical,partnered,none,none,high,domestic,group_b,0
train_0094,band_2,private,14,operations,partnered,none,none,standard,domestic,group_b,1
train_0095,band_3,public,11,operations,partnered,none,none,standard,domestic,group_b,1
train_0096,band_2,private,10,commercial_admin,independent,none,none,standard,domestic,group_b,0
train_0097,band_1,private,13,service,independent,none,none,standard,domestic,group_a,0
train_0098,band_1,private,13,technical,independent,none,none,high,domestic,group_b,0
train_0099,band_4,self_employed,4,operations,partnered,none,none,low,domestic,group_b,0
train_0100,band_2,private,10,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0101,band_3,private,10,operations,independent,none,none,standard,domestic,group_a,0
train_0102,band_3,self_employed,8,technical,partnered,none,none,high,domestic,group_b,1
train_0103,band_1,private,7,operations,shared_household,none,none,low,domestic,group_b,0
train_0104,band_2,private,9,operations,partnered,none,low,standard,domestic,group_b,1
train_0105,band_1,private,9,operations,shared_household,none,none,standard,other_international,group_b,0
train_0106,band_2,private,9,operations,shared_household,none,none,high,other_international,group_a,0
train_0107,band_3,private,16,technical,partnered,none,none,standard,domestic,group_b,1
train_0108,band_1,private,9,operations,independent,none,none,standard,domestic,group_b,0
train_0109,band_1,private,9,operations,shared_household,none,none,standard,domestic,group_b,0
train_0110,band_3,self_employed,10,operations,partnered,low,none,low,domestic,group_b,0
train_0111,band_2,private,13,commercial_admin,partnered,high,none,standard,domestic,group_b,1
train_0112,band_2,private,9,operations,partnered,none,none,high,domestic,group_b,0
train_0113,band_2,private,10,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0114,band_3,private,6,service,independent,none,none,standard,domestic,group_b,0
train_0115,band_1,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0116,band_4,private,9,commercial_admin,independent,none,none,standard,domestic,group_a,0
train_0117,band_1,private,6,operations,independent,none,none,standard,domestic,group_b,0
train_0118,band_3,private,9,commercial_admin,independent,none,none,standard,domestic,group_a,0
train_0119,band_1,private,10,commercial_admin,independent,none,none,standard,domestic,group_a,0
train_0120,band_3,public,10,operations,partnered,none,none,standard,domestic,group_b,0
train_0121,band_3,private,5,service,shared_household,none,none,standard,regional,group_a,0
train_0122,band_2,private,13,technical,partnered,none,none,standard,domestic,group_b,1
train_0123,band_1,private,9,operations,shared_household,none,none,low,domestic,group_b,0
train_0124,band_4,private,9,operations,partnered,none,none,standard,domestic,group_b,1
train_0125,band_2,private,11,operations,partnered,none,none,standard,domestic,group_b,0
train_0126,band_2,private,9,commercial_admin,partnered,none,none,low,domestic,group_a,1
train_0127,band_3,private,9,operations,partnered,none,none,standard,regional,group_b,0
train_0128,band_1,private,13,commercial_admin,independent,low,none,high,domestic,group_b,0
train_0129,band_1,public,10,operations,independent,low,none,standard,domestic,group_b,0
train_0130,band_1,private,11,operations,partnered,none,none,standard,domestic,group_b,1
train_0131,band_3,private,13,technical,partnered,none,none,standard,domestic,group_b,1
train_0132,band_3,private,10,commercial_admin,partnered,none,none,standard,domestic,group_a,1
train_0133,band_2,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0134,band_3,self_employed,13,technical,partnered,high,none,high,domestic,group_b,1
train_0135,band_4,public,10,technical,partnered,none,none,standard,domestic,group_b,0
train_0136,band_3,private,6,commercial_admin,partnered,none,none,low,other_international,group_a,1
train_0137,band_3,private,1,commercial_admin,shared_household,none,none,standard,regional,group_a,0
train_0138,band_2,private,13,technical,partnered,low,none,standard,domestic,group_b,1
train_0139,band_1,private,10,technical,shared_household,none,none,low,domestic,group_b,0
train_0140,band_1,private,7,service,independent,none,none,standard,domestic,group_a,0
train_0141,band_4,private,4,service,independent,none,none,standard,domestic,group_a,0
train_0142,band_2,private,14,technical,partnered,none,none,high,domestic,group_b,1
train_0143,band_1,private,13,commercial_admin,shared_household,none,none,standard,other_international,group_a,0
train_0144,band_4,private,9,operations,partnered,none,high,standard,domestic,group_b,1
train_0145,band_1,private,12,commercial_admin,shared_household,none,none,low,domestic,group_b,0
train_0146,band_2,private,15,technical,partnered,none,high,standard,domestic,group_b,1
train_0147,band_3,self_employed,10,operations,partnered,none,none,low,domestic,group_b,0
train_0148,band_2,private,9,operations,shared_household,none,none,standard,domestic,group_b,0
train_0149,band_3,public,9,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0150,band_1,private,3,operations,shared_household,none,none,standard,regional,group_b,0
train_0151,band_4,self_employed,4,commercial_admin,independent,none,none,high,domestic,group_a,0
train_0152,band_3,private,9,commercial_admin,partnered,none,none,standard,domestic,group_b,0
train_0153,band_1,private,13,technical,partnered,none,high,standard,domestic,group_a,0
train_0154,band_1,private,9,operations,shared_household,none,none,standard,other_international,group_a,0
train_0155,band_3,private,12,technical,partnered,none,none,standard,domestic,group_a,1
train_0156,band_1,self_employed,7,technical,partnered,none,none,high,domestic,group_b,0
train_0157,band_3,private,9,technical,independent,none,none,standard,domestic,group_a,0
train_0158,band_2,private,16,technical,partnered,none,none,high,domestic,group_b,1
train_0159,band_2,private,10,operations,partnered,none,none,standard,european,group_b,0
train_0160,band_2,private,15,technical,partnered,none,none,low,domestic,group_b,1
train_0161,band_3,private,9,commercial_admin,partnered,high,none,high,domestic,group_b,1
train_0162,band_3,public,13,operations,partnered,none,none,high,domestic,group_b,1
train_0163,band_3,private,14,technical,partnered,none,none,standard,domestic,group_b,1
train_0164,band_2,private,10,service,shared_household,none,none,low,domestic,group_a,0
train_0165,band_2,private,6,service,partnered,none,none,high,other_international,group_b,0
train_0166,band_3,public,10,commercial_admin,independent,none,none,standard,domestic,group_a,0
train_0167,band_2,private,10,operations,partnered,none,none,standard,domestic,group_b,1
train_0168,band_1,private,9,commercial_admin,independent,none,none,standard,domestic,group_a,0
train_0169,band_2,private,10,operations,partnered,none,none,high,domestic,group_b,1
train_0170,band_2,private,10,service,partnered,none,none,standard,domestic,group_b,0
train_0171,band_3,private,10,technical,independent,none,none,standard,domestic,group_a,0
train_0172,band_1,private,10,operations,partnered,none,none,standard,domestic,group_b,0
train_0173,band_2,private,12,technical,partnered,none,none,high,domestic,group_b,0
train_0174,band_2,private,12,commercial_admin,partnered,none,none,standard,domestic,group_b,1
train_0175,band_1,private,13,commercial_admin,shared_household,none,low,standard,domestic,group_a,0
train_0176,band_1,private,9,operations,partnered,none,none,high,domestic,group_b,0
train_0177,band_2,private,13,technical,partnered,none,none,low,domestic,group_a,1
train_0178,band_4,self_employed,6,technical,partnered,none,none,low,domestic,group_b,0
train_0179,band_3,public,9,operations,shared_household,none,none,standard,domestic,group_a,0
train_0180,band_1,public,10,service,shared_household,none,none,low,domestic,group_a,0
train_0181,band_2,private,11,technical,partnered,none,low,high,domestic,group_b,1
train_0182,band_3,public,14,technical,partnered,none,none,standard,domestic,group_b,1
train_0183,band_2,private,9,commercial_admin,partnered,none,none,standard,domestic,group_b,0
train_0184,band_2,private,6,operations,independent,none,none,standard,domestic,group_b,0
train_0185,band_3,private,11,commercial_admin,independent,none,none,standard,european,group_a,0
train_0186,band_1,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0187,band_1,private,13,commercial_admin,independent,none,none,standard,domestic,group_a,0
train_0188,band_3,self_employed,3,operations,partnered,none,none,low,domestic,group_b,0
train_0189,band_2,private,10,commercial_admin,independent,none,none,high,domestic,group_b,0
train_0190,band_1,private,13,service,independent,none,none,standard,domestic,group_a,0
train_0191,band_2,private,9,technical,partnered,none,none,standard,domestic,group_a,0
train_0192,band_2,private,13,technical,independent,high,none,standard,domestic,group_a,1
train_0193,band_2,public,10,operations,partnered,high,none,standard,domestic,group_b,1
train_0194,band_1,private,7,operations,independent,none,none,low,regional,group_b,0
train_0195,band_1,self_employed,9,service,independent,none,none,standard,domestic,group_a,0
train_0196,band_1,private,13,commercial_admin,independent,none,none,standard,domestic,group_b,0
train_0197,band_3,public,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0198,band_2,private,9,operations,shared_household,none,none,low,domestic,group_a,0
train_0199,band_2,self_employed,9,technical,partnered,none,low,standard,domestic,group_b,1
train_0200,band_2,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0201,band_2,private,10,technical,partnered,none,none,standard,domestic,group_a,1
train_0202,band_2,private,9,operations,independent,none,none,high,domestic,group_b,0
train_0203,band_4,private,4,technical,independent,none,none,low,domestic,group_a,0
train_0204,band_1,private,9,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0205,band_2,private,13,technical,independent,high,none,high,domestic,group_a,1
train_0206,band_1,private,9,service,independent,none,none,standard,domestic,group_b,0
train_0207,band_2,private,10,operations,partnered,none,none,standard,domestic,group_b,0
train_0208,band_3,private,5,operations,shared_household,none,none,standard,regional,group_a,0
train_0209,band_3,public,12,commercial_admin,independent,none,none,standard,other_international,group_b,0
train_0210,band_2,self_employed,9,technical,partnered,none,none,standard,domestic,group_b,0
train_0211,band_1,private,7,service,partnered,none,none,standard,domestic,group_b,0
train_0212,band_3,self_employed,13,commercial_admin,independent,none,none,high,domestic,group_a,0
train_0213,band_1,private,10,commercial_admin,shared_household,none,none,low,domestic,group_a,0
train_0214,band_4,private,9,commercial_admin,independent,none,none,low,domestic,group_a,0
train_0215,band_3,self_employed,10,commercial_admin,partnered,none,none,high,domestic,group_b,1
train_0216,band_3,private,9,service,independent,none,none,standard,domestic,group_b,0
train_0217,band_2,public,9,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0218,band_1,private,7,technical,shared_household,none,none,low,domestic,group_a,0
train_0219,band_1,private,9,commercial_admin,shared_household,none,none,standard,domestic,group_b,0
train_0220,band_3,self_employed,10,technical,partnered,low,none,standard,domestic,group_b,0
train_0221,band_2,public,10,operations,independent,none,none,standard,domestic,group_b,0
train_0222,band_3,private,12,operations,independent,none,none,standard,domestic,group_b,0
train_0223,band_2,private,9,operations,independent,none,none,standard,domestic,group_b,0
train_0224,band_2,self_employed,15,technical,partnered,none,none,high,domestic,group_a,1
train_0225,band_3,private,10,operations,partnered,none,none,standard,domestic,group_b,0
train_0226,band_2,private,9,commercial_admin,partnered,none,none,low,domestic,group_b,1
train_0227,band_4,private,9,commercial_admin,shared_household,none,none,low,domestic,group_a,0
train_0228,band_3,private,9,service,shared_household,none,none,standard,regional,group_a,0
train_0229,band_2,private,9,operations,partnered,high,none,standard,domestic,group_b,1
train_0230,band_2,private,9,operations,partnered,none,high,high,domestic,group_b,0
train_0231,band_3,private,11,operations,partnered,high,none,standard,domestic,group_b,0
train_0232,band_3,self_employed,2,technical,independent,none,none,high,domestic,group_b,0
train_0233,band_3,self_employed,10,technical,partnered,high,none,high,domestic,group_b,1
train_0234,band_3,public,14,technical,independent,none,none,high,domestic,group_b,0
train_0235,band_2,private,11,operations,shared_household,none,none,standard,domestic,group_b,0
train_0236,band_1,private,9,service,independent,none,none,standard,domestic,group_b,0
train_0237,band_2,self_employed,9,operations,shared_household,none,none,standard,domestic,group_b,0
train_0238,band_3,public,14,technical,partnered,none,none,low,domestic,group_a,1
train_0239,band_1,private,9,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0240,band_1,self_employed,9,operations,shared_household,none,none,standard,domestic,group_b,0
train_0241,band_3,self_employed,10,operations,partnered,none,none,high,domestic,group_b,0
train_0242,band_3,public,13,commercial_admin,shared_household,none,none,standard,other_international,group_a,0
train_0243,band_2,public,10,operations,partnered,none,none,low,domestic,group_b,0
train_0244,band_3,public,10,technical,independent,none,none,standard,regional,group_a,0
train_0245,band_1,private,9,commercial_admin,shared_household,none,none,standard,domestic,group_b,0
train_0246,band_3,private,9,service,shared_household,none,none,standard,domestic,group_a,0
train_0247,band_3,public,9,commercial_admin,shared_household,none,none,standard,european,group_a,0
train_0248,band_1,private,9,operations,shared_household,none,none,low,domestic,group_b,0
train_0249,band_2,public,12,technical,partnered,none,none,standard,domestic,group_b,1
train_0250,band_3,public,14,technical,independent,high,none,high,domestic,group_a,1
train_0251,band_2,public,11,commercial_admin,independent,none,none,standard,domestic,group_b,0
train_0252,band_1,private,13,operations,shared_household,none,none,low,domestic,group_b,0
train_0253,band_1,private,14,service,independent,none,none,low,domestic,group_a,0
train_0254,band_3,private,9,operations,partnered,low,none,standard,domestic,group_b,0
train_0255,band_4,private,13,technical,partnered,none,none,high,domestic,group_b,1
train_0256,band_2,private,11,commercial_admin,partnered,none,none,standard,domestic,group_b,0
train_0257,band_3,private,13,technical,partnered,none,none,standard,domestic,group_b,1
train_0258,band_2,self_employed,10,commercial_admin,partnered,none,none,high,domestic,group_b,0
train_0259,band_1,private,13,technical,shared_household,none,none,standard,european,group_b,0
train_0260,band_2,private,13,commercial_admin,partnered,high,none,high,domestic,group_b,1
train_0261,band_3,self_employed,10,technical,partnered,none,none,high,domestic,group_b,1
train_0262,band_3,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0263,band_2,public,13,technical,partnered,none,none,standard,domestic,group_b,1
train_0264,band_1,self_employed,10,operations,independent,none,none,standard,domestic,group_a,0
train_0265,band_4,self_employed,15,technical,partnered,none,none,low,domestic,group_b,1
train_0266,band_1,private,13,commercial_admin,independent,none,none,standard,domestic,group_a,0
train_0267,band_3,public,6,service,partnered,none,none,standard,domestic,group_b,0
train_0268,band_2,private,14,commercial_admin,partnered,none,none,standard,domestic,group_b,0
train_0269,band_4,private,9,commercial_admin,shared_household,none,none,low,domestic,group_a,0
train_0270,band_1,private,10,service,shared_household,none,none,low,domestic,group_a,0
train_0271,band_1,private,10,commercial_admin,shared_household,none,none,low,domestic,group_b,0
train_0272,band_2,self_employed,14,technical,partnered,none,none,low,domestic,group_a,0
train_0273,band_3,private,4,operations,partnered,none,none,standard,domestic,group_b,0
train_0274,band_2,private,3,operations,partnered,none,none,standard,domestic,group_b,0
train_0275,band_1,self_employed,10,operations,shared_household,none,none,standard,domestic,group_b,0
train_0276,band_3,private,9,operations,partnered,high,none,standard,domestic,group_b,1
train_0277,band_3,private,13,technical,partnered,none,none,standard,domestic,group_b,1
train_0278,band_1,private,9,operations,shared_household,none,none,standard,domestic,group_b,0
train_0279,band_2,private,9,operations,independent,high,none,standard,domestic,group_b,1
train_0280,band_2,self_employed,3,operations,partnered,none,none,low,regional,group_b,0
train_0281,band_2,private,9,commercial_admin,independent,none,none,standard,domestic,group_a,0
train_0282,band_1,self_employed,9,service,independent,high,none,high,domestic,group_b,1
train_0283,band_1,private,7,operations,shared_household,none,none,standard,domestic,group_b,0
train_0284,band_2,private,11,operations,partnered,high,none,standard,domestic,group_b,1
train_0285,band_1,private,9,operations,independent,none,none,low,domestic,group_a,0
train_0286,band_4,private,13,commercial_admin,partnered,none,none,high,domestic,group_b,1
train_0287,band_2,self_employed,9,operations,partnered,none,none,high,domestic,group_b,0
train_0288,band_1,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0289,band_1,private,13,technical,independent,none,none,standard,domestic,group_b,0
train_0290,band_3,self_employed,13,operations,independent,none,none,standard,domestic,group_a,0
train_0291,band_2,public,13,operations,shared_household,none,none,high,european,group_a,0
train_0292,band_2,private,10,commercial_admin,partnered,none,none,standard,european,group_b,0
train_0293,band_3,self_employed,7,service,shared_household,none,none,high,domestic,group_a,0
train_0294,band_3,private,9,commercial_admin,partnered,none,none,standard,domestic,group_b,0
train_0295,band_1,private,10,operations,shared_household,none,none,standard,domestic,group_b,0
train_0296,band_2,private,12,operations,partnered,none,none,standard,domestic,group_b,0
train_0297,band_3,private,9,service,partnered,none,none,standard,domestic,group_a,0
train_0298,band_1,public,10,commercial_admin,shared_household,none,none,low,domestic,group_a,0
train_0299,band_1,private,10,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0300,band_2,private,13,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0301,band_3,private,9,technical,independent,none,low,standard,domestic,group_a,0
train_0302,band_3,private,13,technical,partnered,none,none,standard,domestic,group_b,1
train_0303,band_2,private,13,technical,partnered,none,low,high,domestic,group_b,1
train_0304,band_2,private,13,technical,independent,none,none,standard,domestic,group_b,0
train_0305,band_2,private,9,operations,shared_household,none,none,standard,domestic,group_b,0
train_0306,band_2,private,10,operations,independent,none,none,high,domestic,group_b,0
train_0307,band_2,public,11,operations,partnered,none,none,high,domestic,group_b,0
train_0308,band_3,private,9,operations,shared_household,none,none,standard,domestic,group_a,0
train_0309,band_2,public,9,service,shared_household,none,none,standard,domestic,group_b,0
train_0310,band_3,public,14,technical,partnered,none,none,standard,domestic,group_a,1
train_0311,band_1,private,13,technical,independent,none,none,standard,domestic,group_a,0
train_0312,band_2,private,13,technical,shared_household,none,none,standard,domestic,group_a,0
train_0313,band_2,public,10,operations,partnered,none,none,standard,domestic,group_b,1
train_0314,band_2,private,12,commercial_admin,partnered,none,none,standard,other_international,group_b,1
train_0315,band_4,self_employed,13,technical,partnered,none,none,high,domestic,group_b,1
train_0316,band_2,private,13,operations,independent,none,none,standard,domestic,group_a,0
train_0317,band_2,private,10,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0318,band_2,private,12,commercial_admin,independent,none,none,standard,domestic,group_b,0
train_0319,band_1,private,9,service,partnered,none,none,standard,domestic,group_b,0
train_0320,band_3,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0321,band_2,private,9,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0322,band_3,private,9,technical,shared_household,none,none,low,domestic,group_a,0
train_0323,band_2,public,9,technical,independent,none,none,high,domestic,group_a,0
train_0324,band_1,self_employed,9,operations,shared_household,none,none,high,domestic,group_b,0
train_0325,band_3,private,10,service,independent,none,none,low,domestic,group_b,0
train_0326,band_4,private,9,service,independent,none,none,standard,domestic,group_a,0
train_0327,band_2,self_employed,12,technical,partnered,high,none,high,domestic,group_b,1
train_0328,band_1,private,9,service,shared_household,none,none,standard,domestic,group_a,0
train_0329,band_3,private,13,commercial_admin,partnered,none,none,standard,domestic,group_b,1
train_0330,band_4,private,10,technical,independent,low,none,low,european,group_a,0
train_0331,band_1,private,15,technical,partnered,none,none,high,domestic,group_b,1
train_0332,band_2,private,14,technical,partnered,none,high,high,domestic,group_b,1
train_0333,band_1,private,13,commercial_admin,independent,none,none,standard,domestic,group_a,0
train_0334,band_3,self_employed,14,technical,independent,none,none,high,regional,group_b,0
train_0335,band_3,public,5,operations,partnered,none,none,standard,domestic,group_b,0
train_0336,band_2,private,9,service,shared_household,none,none,standard,regional,group_a,0
train_0337,band_2,private,13,operations,partnered,none,none,standard,domestic,group_b,0
train_0338,band_2,public,13,technical,partnered,none,none,low,domestic,group_b,0
train_0339,band_2,private,10,operations,shared_household,none,none,low,regional,group_a,0
train_0340,band_4,private,10,operations,partnered,low,none,standard,domestic,group_b,1
train_0341,band_4,private,13,technical,independent,none,none,standard,domestic,group_a,1
train_0342,band_1,private,9,commercial_admin,shared_household,none,none,standard,domestic,group_a,0
train_0343,band_2,private,11,operations,partnered,none,none,standard,domestic,group_b,0
train_0344,band_4,public,9,technical,independent,none,none,standard,domestic,group_a,0
train_0345,band_2,public,9,operations,partnered,none,none,standard,domestic,group_b,1
train_0346,band_3,private,10,technical,partnered,none,none,standard,domestic,group_b,1
train_0347,band_4,public,13,commercial_admin,shared_household,none,none,standard,other_international,group_a,0
train_0348,band_3,private,11,technical,independent,none,none,standard,domestic,group_a,0
train_0349,band_2,private,13,technical,partnered,none,low,standard,domestic,group_a,1
train_0350,band_1,private,1,operations,independent,none,none,standard,regional,group_b,0
train_0351,band_2,private,9,operations,partnered,none,none,high,domestic,group_b,0
train_0352,band_3,private,9,commercial_admin,partnered,none,none,standard,domestic,group_a,0
train_0353,band_1,private,9,operations,partnered,none,none,standard,domestic,group_b,0
train_0354,band_3,public,13,technical,independent,none,none,standard,domestic,group_a,1
train_0355,band_2,public,10,technical,partnered,none,low,high,domestic,group_b,1
train_0356,band_3,private,13,operations,partnered,none,none,standard,domestic,group_b,1
train_0357,band_1,private,14,technical,independent,none,none,standard,domestic,group_a,0
train_0358,band_1,private,13,service,independent,none,none,standard,regional,group_a,0
train_0359,band_2,private,13,commercial_admin,partnered,none,low,standard,domestic,group_b,1
train_0360,band_1,private,9,operations,shared_household,none,none,standard,domestic,group_a,0
train_0361,band_2,public,8,operations,partnered,none,none,standard,domestic,group_b,0
train_0362,band_2,self_employed,9,technical,partnered,none,low,high,european,group_b,1
train_0363,band_1,private,9,operations,independent,none,none,low,domestic,group_b,0
train_0364,band_2,private,9,operations,independent,none,none,standard,domestic,group_b,0
train_0365,band_2,private,13,technical,shared_household,none,none,standard,domestic,group_b,0
train_0366,band_2,private,9,operations,partnered,none,none,standard,other_international,group_b,0
